trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_5302603_b_none_tn_1,06:19:00,06:19:00,781735,4,,0,0,1891.4333862312617,0,,,,,1,1,,,,,,,,,,,
t_5302603_b_none_tn_1,06:21:00,06:21:00,781733,5,,0,0,2579.298156812509,0,,,,,1,1,,,,,,,,,,,
t_5302603_b_none_tn_1,06:30:00,06:30:00,781717,6,,0,0,5676.739304979999,0,,,,,1,1,,,,,,,,,,,
t_5816271_b_none_tn_0,07:25:00,07:25:00,794724,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_5816271_b_none_tn_0,07:29:00,07:29:00,781731,2,,0,0,1798.2749045385206,0,,,,,1,1,,,,,,,,,,,
t_5816271_b_none_tn_0,07:38:00,07:38:00,781725,3,,0,0,5105.277154284852,0,,,,,1,1,,,,,,,,,,,
t_5816271_b_none_tn_0,07:48:00,07:48:00,781721,4,,0,0,13270.604275008245,0,,,,,1,1,,,,,,,,,,,
t_5816271_b_none_tn_0,07:50:00,07:50:00,781719,5,,0,0,14112.729643,0,,,,,1,1,,,,,,,,,,,
t_5849002_b_none_tn_0,23:50:00,23:50:00,781723,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_5849002_b_none_tn_0,23:59:00,23:59:00,781728,2,,0,0,3942.0035222863607,0,,,,,1,1,,,,,,,,,,,
t_5849002_b_none_tn_0,24:07:00,24:07:00,781715,3,,0,0,5214.034764104707,0,,,,,1,1,,,,,,,,,,,
t_5849002_b_none_tn_0,24:16:00,24:16:00,781732,4,,0,0,8315.141798098184,0,,,,,1,1,,,,,,,,,,,
t_5849002_b_none_tn_0,24:19:00,24:19:00,781736,5,,0,0,9402.663101796614,0,,,,,1,1,,,,,,,,,,,
t_5849002_b_none_tn_0,24:23:00,24:23:00,781740,6,,0,0,10896.750968509998,0,,,,,1,1,,,,,,,,,,,
t_5849011_b_none_tn_1,07:50:00,07:50:00,781718,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_5849011_b_none_tn_1,07:52:00,07:52:00,781720,2,,0,0,851.1852124330219,0,,,,,1,1,,,,,,,,,,,
t_5849011_b_none_tn_1,08:06:00,08:06:00,781722,3,,0,0,8999.013534968335,0,,,,,1,1,,,,,,,,,,,
t_5849011_b_none_tn_1,08:14:00,08:14:00,781730,4,,0,0,12321.32772223597,0,,,,,1,1,,,,,,,,,,,
t_5849011_b_none_tn_1,08:18:00,08:18:00,794724,5,,0,0,14135.330676870008,0,,,,,1,1,,,,,,,,,,,
