stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,wheelchair_boarding
ST_ILB_1_entree_porte_A,Entrée Porte A - Chemin du Tour/Du Bois,45.52017,-73.8533,2,2,ST_ILB_1,,1
ST_ILB_1_entree_porte_B,Entrée Porte B - Chemin des Rocailles/Des Trilles,45.52006,-73.8534,2,2,ST_ILB_1,,1
ST_SDR_1_entree_porte_A,Entrée Porte A - stationnement,45.52364,-73.8619,2,2,ST_SDR_1,,1
ST_SDR_1_entree_porte_B,Entrée Porte B - terminus d'autobus, 45.52334,-73.8619,2,2,ST_SDR_1,,1
ST_GRM_1_entree_porte_A,Entrée Porte A - Rue de la Gare,45.53691,-73.887,3,2,ST_GRM_1,,1
ST_GRM_1_entree_porte_B,Entrée Porte B - 9e Avenue,45.53679,-73.8872,3,2,ST_GRM_1,,1
ST_DEM_1_entree,Entrée principale,45.54562,-73.9123,3,2,ST_DEM_1,,1
ST_DSO_1_entree,Entrée principale,45.47717,-73.7907,1,2,ST_DSO_1,,1
ST_PTC_1_entree,Entrée principale,45.45972,-73.8355,1,2,ST_PTC_1,,1
ST_JYV_1_entree,Entrée principale,45.44012,-73.8858,1,2,ST_JYV_1,,1
ST_SAB_1_entree,Entrée principale,45.43123,-73.9109,1,2,ST_SAB_1,,1
STA_ZCD_BT_SD_01_RIV,Zone de prise en charge voie 1,  45.438700, -73.435105,2,0,,,2 
STA_ZCD_BT_SD_02_RIV,Zone de prise en charge voie 2,  45.438632, -73.435038,2,0,,,2  
STA_ZCD_UP_SD_05_RIV,Zone de retournement Brossard voie 1,  45.437234, -73.433056,2,0,,,2  
STA_ZCD_UP_SD_06_RIV,Zone de retournement Brossard voie 2,  45.437292, -73.433083,2,0,,,2 
STA_ZCD_DN_SD_10A_PAN,Zone de retournement Panama voie 2,  45.465373, -73.480299,2,0,,,2 
STA_ZCD_UP_SD_01B_IDS,Zone de retournement Île-des-Soeurs voie 1,  45.470280, -73.536730,2,0,,,2
STA_ZCD_UP_SD_04_IDS,Zone de retournement Île-des-Soeurs voie 2,  45.470294, -73.537718,2,0,,,2
STA_ZCD_UP_SD_01C_GCT,Zone de retournement Gare Centrale voie 2,  45.496234, -73.558798,2,0,,,2
STA_ZCD_DN_SD_09_A40,Zone de retournement A401-TB1-A402,  45.522296, -73.663435,2,0,,,2
STA_ZCD_BT_SD_17_DEM,Zone de prise en charge voie 1,  45.548771, -73.927470,3,0,,,2 
STA_ZCD_BT_SD_20_DEM,Zone de prise en charge voie 2,  45.548705, -73.927495,3,0,,,2
STA_ZCD_DN_SD_13_DEM,Zone de retournement Deux-Montagnes voie 1,  45.546771, -73.917166,3,0,,,2  
STA_ZCD_DN_SD_16_DEM,Zone de retournement Deux-Montagnes voie 2,  45.546726, -73.917181,3,0,,,2
STA_ZCD_UP_SD_23D_EDM,Zone de retournement Mont-Royal voie 1,  45.515272, -73.639060,1,0,,,2  
STA_ZCD_UP_SD_26D_EDM,Zone de retournement Mont-Royal voie 2,  45.515326, -73.639450,1,0,,,2
STA_ZCD_DN_SD_15_BFC,Zone de retournement Bois-Franc par la voie 1,  45.514911, -73.732295,1,0,,,2
