stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code,stop_access
IDFM:21784,,Pointe du Lac,,2.464290193819998,48.768752248609914,3,,0,IDFM:69884,Europe/Paris,,2,,
IDFM:21902,,République,,2.364283168306328,48.86712186124499,1,,0,IDFM:71311,Europe/Paris,,2,,
IDFM:21903,,République,,2.3640990472225725,48.867687468165165,1,,0,IDFM:71311,Europe/Paris,,2,,
IDFM:21904,,Michel-Ange - Molitor,,2.2618218573220084,48.84515597018703,1,,0,IDFM:73658,Europe/Paris,,2,,
IDFM:21905,,Oberkampf,,2.3685262686038397,48.864581198067484,1,,0,IDFM:71803,Europe/Paris,,2,,
IDFM:21906,,Havre-Caumartin,,2.3274627984235092,48.87346783937801,1,,0,IDFM:482368,Europe/Paris,,2,,
IDFM:21907,,Michel-Ange - Auteuil,,2.2636623741296225,48.84798233481017,1,,0,IDFM:71206,Europe/Paris,,2,,
IDFM:21908,,Rue de la Pompe,,2.2778858979590564,48.863951708879945,1,,0,IDFM:71292,Europe/Paris,,2,,
IDFM:21909,,Grands Boulevards,,2.343167503558387,48.87141461757831,1,,0,IDFM:71326,Europe/Paris,,2,,
IDFM:21910,,Saint-Ambroise,,2.3738805382115475,48.86141665790915,1,,0,IDFM:71781,Europe/Paris,,2,,
IDFM:21911,,Saint-Augustin,,2.3210135978085997,48.87454661293485,1,,0,IDFM:73690,Europe/Paris,,2,,
IDFM:21912,,Saint-Philippe-du-Roule,,2.310003605630067,48.872010466196734,1,,0,IDFM:71334,Europe/Paris,,2,,
IDFM:21913,,Porte de Montreuil,,2.4107036110235414,48.853563500943025,1,,0,IDFM:71710,Europe/Paris,,2,,
IDFM:21914,,Porte de Saint-Cloud,,2.2571150788457843,48.837904870913846,1,,0,IDFM:71084,Europe/Paris,,2,,
IDFM:21915,,Ranelagh,,2.270032697561899,48.855306214887065,1,,0,IDFM:71243,Europe/Paris,,2,,
IDFM:21916,,Voltaire,,2.3800699052713505,48.85788746926412,1,,0,IDFM:71750,Europe/Paris,,2,,
IDFM:21917,,Trocadéro,,2.28683987979629,48.863088061116,1,,0,IDFM:71285,Europe/Paris,,2,,
IDFM:21918,,République,,2.3631211111325285,48.86739447922248,1,,0,IDFM:71311,Europe/Paris,,2,,
IDFM:21919,,Nation,,2.395929573384626,48.8489301146597,1,,0,IDFM:71673,Europe/Paris,,2,,
IDFM:21920,,Strasbourg - Saint-Denis,,2.3535397339768016,48.86942958380859,1,,0,IDFM:73633,Europe/Paris,,2,,
IDFM:21921,,Richelieu - Drouot,,2.338945322609599,48.87216480660736,1,,0,IDFM:71330,Europe/Paris,,2,,
IDFM:21922,,Michel-Ange - Auteuil,,2.2639392129884905,48.84767825351756,1,,0,IDFM:71206,Europe/Paris,,2,,
IDFM:21923,,Michel-Ange - Molitor,,2.261459837479309,48.844740025814346,1,,0,IDFM:73658,Europe/Paris,,2,,
IDFM:21924,,Miromesnil,,2.314956477016244,48.87378363680945,1,,0,IDFM:71346,Europe/Paris,,2,,
IDFM:21925,,Oberkampf,,2.3681558453945515,48.86477709852134,1,,0,IDFM:71803,Europe/Paris,,2,,
IDFM:21926,,Havre-Caumartin,,2.327651103418782,48.87366675194512,1,,0,IDFM:482368,Europe/Paris,,2,,
IDFM:21927,,Iéna,,2.293906396859107,48.864685839288676,1,,0,IDFM:71294,Europe/Paris,,2,,
IDFM:21928,,Jasmin,,2.268219083521012,48.852462147844555,1,,0,IDFM:73657,Europe/Paris,,2,,
IDFM:21929,,La Muette,,2.2740962446697224,48.85809196689865,1,,0,IDFM:474150,Europe/Paris,,2,,
IDFM:21930,,Exelmans,,2.259679884496597,48.842462609431415,1,,0,IDFM:71124,Europe/Paris,,2,,
IDFM:21931,,Franklin D. Roosevelt,,2.309488192337113,48.86872488799857,1,,0,IDFM:71318,Europe/Paris,,2,,
IDFM:21932,,Chaussée d'Antin - La Fayette,,2.333782253062422,48.872918607275146,1,,0,IDFM:73689,Europe/Paris,,2,,
IDFM:21933,,Bonne Nouvelle,,2.3484940979375373,48.8706433160169,1,,0,IDFM:71320,Europe/Paris,,2,,
