trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled
92275546113,21:53:00,21:53:00,30056,1,Harlem/Lake,0,0
92275546113,21:57:00,21:57:00,30183,2,Harlem/Lake,0,5416
92275546113,22:03:30,22:03:30,30099,3,Harlem/Lake,0,17779
92275546113,22:05:00,22:05:00,30024,4,Harlem/Lake,0,20299
92275546113,22:06:30,22:06:30,30209,5,Harlem/Lake,0,22896
92275546113,22:07:30,22:07:30,30245,6,Harlem/Lake,0,25539
92275546113,22:09:00,22:09:00,30058,7,Harlem/Lake,0,28041
92275546113,22:12:00,22:12:00,30213,8,Harlem/Lake,0,32717
92275546113,22:15:30,22:15:30,30381,9,Harlem/Lake,0,40530
92275546113,22:19:00,22:19:00,30080,10,Harlem/Lake,0,45737
92275546113,22:22:30,22:22:30,30131,11,Harlem/Lake,0,50203
92275546113,22:23:30,22:23:30,30383,12,Harlem/Lake,0,51556
92275546113,22:26:00,22:26:00,30075,13,Harlem/Lake,0,53704
92275546113,22:29:00,22:29:00,30222,14,Harlem/Lake,0,56668
92275546113,22:30:30,22:30:30,30296,15,Harlem/Lake,0,59490
92275546113,22:32:00,22:32:00,30033,16,Harlem/Lake,0,63528
92275546113,22:33:30,22:33:30,30388,17,Harlem/Lake,0,66237
92275546113,22:36:00,22:36:00,30266,18,Harlem/Lake,0,71513
92275546113,22:38:00,22:38:00,30208,19,Harlem/Lake,0,74221
92275546113,22:39:30,22:39:30,30292,20,Harlem/Lake,0,77052
92275546113,22:41:30,22:41:30,30006,21,Harlem/Lake,0,79477
92275546113,22:45:00,22:45:00,30009,22,Harlem/Lake,0,84747
92275546113,22:46:30,22:46:30,30136,23,Harlem/Lake,0,87559
92275546113,22:47:30,22:47:30,30055,24,Harlem/Lake,0,90476
92275546113,22:49:00,22:49:00,30244,25,Harlem/Lake,0,92787
92275546113,22:50:30,22:50:30,30120,26,Harlem/Lake,0,95382
92275546113,22:51:30,22:51:30,30264,27,Harlem/Lake,0,98141
92275546113,22:53:00,22:53:00,30004,28,Harlem/Lake,0,100699
92275546115,06:27:00,06:27:00,30140,1,Harlem/Lake,0,0
92275546115,06:29:00,06:29:00,30218,2,Harlem/Lake,0,2644
92275546115,06:32:30,06:32:30,30099,3,Harlem/Lake,0,8763
92275546115,06:34:00,06:34:00,30024,4,Harlem/Lake,0,11283
92275546115,06:35:30,06:35:30,30209,5,Harlem/Lake,0,13880
92275546115,06:36:30,06:36:30,30245,6,Harlem/Lake,0,16523
92275546115,06:38:00,06:38:00,30058,7,Harlem/Lake,0,19025
92275546115,06:41:00,06:41:00,30213,8,Harlem/Lake,0,23701
92275546115,06:44:30,06:44:30,30381,9,Harlem/Lake,0,31514
92275546115,06:48:00,06:48:00,30080,10,Harlem/Lake,0,36721
92275546115,06:51:30,06:51:30,30131,11,Harlem/Lake,0,41187
92275546115,06:52:30,06:52:30,30383,12,Harlem/Lake,0,42540
92275546115,06:55:00,06:55:00,30075,13,Harlem/Lake,0,44688
92275546115,06:58:00,06:58:00,30222,14,Harlem/Lake,0,47652
92275546115,06:59:30,06:59:30,30296,15,Harlem/Lake,0,50474
92275546115,07:01:00,07:01:00,30033,16,Harlem/Lake,0,54512
92275546115,07:02:30,07:02:30,30388,17,Harlem/Lake,0,57221
92275546115,07:05:00,07:05:00,30266,18,Harlem/Lake,0,62497
92275546115,07:07:00,07:07:00,30208,19,Harlem/Lake,0,65205
92275546115,07:08:30,07:08:30,30292,20,Harlem/Lake,0,68036
92275546115,07:10:30,07:10:30,30006,21,Harlem/Lake,0,70461
92275546115,07:14:00,07:14:00,30009,22,Harlem/Lake,0,75731
92275546115,07:15:30,07:15:30,30136,23,Harlem/Lake,0,78543
92275546115,07:16:30,07:16:30,30055,24,Harlem/Lake,0,81460
92275546115,07:18:00,07:18:00,30244,25,Harlem/Lake,0,83771
92275546115,07:19:30,07:19:30,30120,26,Harlem/Lake,0,86366
92275546115,07:20:30,07:20:30,30264,27,Harlem/Lake,0,89125
92275546115,07:22:00,07:22:00,30004,28,Harlem/Lake,0,91683
92275695356,06:45:00,06:45:00,30250,1,Loop,0,0
92275695356,06:47:00,06:47:00,30226,2,Loop,0,1792
92275695356,06:48:30,06:48:30,30168,3,Loop,0,3746
92275695356,06:50:00,06:50:00,30196,4,Loop,0,5800
92275695356,06:51:00,06:51:00,30284,5,Loop,0,7325
92275695356,06:53:00,06:53:00,30019,6,Loop,0,10010
92275695356,06:54:00,06:54:00,30288,7,Loop,0,12381
92275695356,06:55:30,06:55:30,30282,8,Loop,0,15016
92275695356,06:56:30,06:56:30,30278,9,Loop,0,17748
92275695356,06:59:00,06:59:00,30254,10,Loop,0,19774
92275695356,07:00:00,07:00:00,30071,11,Loop,0,21752
92275695356,07:02:00,07:02:00,30258,12,Loop,0,25799
92275695356,07:03:30,07:03:30,30232,13,Loop,0,27153
92275695356,07:05:00,07:05:00,30104,14,Loop,0,28356
92275695356,07:07:00,07:07:00,30236,15,Loop,0,31156
92275695356,07:09:00,07:09:00,30128,16,Loop,0,33647
92275695356,07:12:30,07:12:30,30156,17,Loop,0,39465
92275695356,07:16:30,07:16:30,30138,18,Loop,0,45000
92275695356,07:19:00,07:19:00,30091,19,Loop,0,48099
92275695356,07:21:30,07:21:30,30142,20,Kimball,0,50385
92275695356,07:22:30,07:22:30,30008,21,Kimball,0,51833
92275695356,07:24:00,07:24:00,30030,22,Kimball,0,53011
92275695356,07:25:00,07:25:00,30165,23,Kimball,0,53971
92275695356,07:26:30,07:26:30,30131,24,Kimball,0,55492
92275695356,07:27:30,07:27:30,30383,25,Kimball,0,56845
92275695356,07:30:00,07:30:00,30075,26,Kimball,0,58993
92275695356,07:32:00,07:32:00,30090,27,Kimball,0,60999
92275695356,07:34:30,07:34:30,30137,28,Kimball,0,64098
92275695356,07:37:00,07:37:00,30155,29,Kimball,0,69633
92275695356,07:41:30,07:41:30,30127,30,Kimball,0,75451
92275695356,07:43:30,07:43:30,30235,31,Kimball,0,77942
92275695356,07:45:30,07:45:30,30103,32,Kimball,0,80742
92275695356,07:46:30,07:46:30,30231,33,Kimball,0,81945
92275695356,07:48:30,07:48:30,30257,34,Kimball,0,83299
92275695356,07:51:00,07:51:00,30070,35,Kimball,0,87346
92275695356,07:53:00,07:53:00,30253,36,Kimball,0,89324
92275695356,07:54:00,07:54:00,30277,37,Kimball,0,91350
92275695356,07:55:00,07:55:00,30281,38,Kimball,0,94082
